moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
272.0,54.0,0.454,30.0,182.0,0.6183685784002659
272.0,54.0,0.454,30.0,2.0,0.6183685784002659
272.0,54.0,0.454,30.0,272.0,1.338950892224452
272.0,54.0,0.454,30.0,92.0,0.5331613064247607
272.0,54.0,0.454,50.0,182.0,0.5358629502587703
272.0,54.0,0.454,50.0,2.0,0.5358629502587703
272.0,54.0,0.454,50.0,272.0,1.728135331165055
272.0,54.0,0.454,50.0,92.0,0.4022188343946844
272.0,54.0,0.454,75.0,182.0,0.554335453437649
272.0,54.0,0.454,75.0,2.0,0.554335453437649
272.0,54.0,0.454,75.0,272.0,0.814743295238945
272.0,54.0,0.454,75.0,92.0,0.4440649990066256
267.0,41.0,0.454,30.0,177.0,0.5738009979148021
267.0,41.0,0.454,30.0,267.0,1.8738111970026141
267.0,41.0,0.454,30.0,357.0,0.5738009979148021
267.0,41.0,0.454,30.0,87.0,0.5496611263977756
267.0,41.0,0.454,50.0,177.0,0.4626365234138465
267.0,41.0,0.454,50.0,267.0,1.3599284198643293
267.0,41.0,0.454,50.0,357.0,0.4626365234138465
267.0,41.0,0.454,50.0,87.0,0.3724029027070057
267.0,41.0,0.454,75.0,177.0,0.4331546561912405
267.0,41.0,0.454,75.0,267.0,0.5893893331692134
267.0,41.0,0.454,75.0,357.0,0.4331546561912405
267.0,41.0,0.454,75.0,87.0,0.3598505741042775
262.0,28.0,0.454,30.0,172.0,0.5135752825098869
262.0,28.0,0.454,30.0,262.0,2.8610252811289922
262.0,28.0,0.454,30.0,352.0,0.5135752825098869
262.0,28.0,0.454,30.0,82.0,0.5673414651295735
262.0,28.0,0.454,50.0,172.0,0.38980798924174626
262.0,28.0,0.454,50.0,262.0,0.8796003389585747
262.0,28.0,0.454,50.0,352.0,0.38980798924174626
262.0,28.0,0.454,50.0,82.0,0.3569702568982324
262.0,28.0,0.454,75.0,172.0,0.3406309311814316
262.0,28.0,0.454,75.0,262.0,0.4301275901426755
262.0,28.0,0.454,75.0,352.0,0.3406309311814316
262.0,28.0,0.454,75.0,82.0,0.2993860526117477
257.0,14.0,0.454,30.0,167.0,0.4159526795051084
257.0,14.0,0.454,30.0,257.0,1.246425052308449
257.0,14.0,0.454,30.0,347.0,0.4159526795051084
257.0,14.0,0.454,30.0,77.0,0.5298123073684524
257.0,14.0,0.454,50.0,167.0,0.3028050033026213
257.0,14.0,0.454,50.0,257.0,0.547789832805392
257.0,14.0,0.454,50.0,347.0,0.3028050033026213
257.0,14.0,0.454,50.0,77.0,0.3231146084585342
257.0,14.0,0.454,75.0,167.0,0.25317410795453604
257.0,14.0,0.454,75.0,257.0,0.2960248680563821
257.0,14.0,0.454,75.0,347.0,0.25317410795453604
257.0,14.0,0.454,75.0,77.0,0.2404823696581432
252.0,2.0,0.454,30.0,162.0,0.15393735575211978
252.0,2.0,0.454,30.0,252.0,0.283423148608513
252.0,2.0,0.454,30.0,342.0,0.15393735575211978
252.0,2.0,0.454,30.0,72.0,0.22565765384822262
252.0,2.0,0.454,50.0,162.0,0.11056237317204547
252.0,2.0,0.454,50.0,252.0,0.15111442793768207
252.0,2.0,0.454,50.0,342.0,0.11056237317204547
252.0,2.0,0.454,50.0,72.0,0.136939026557195
252.0,2.0,0.454,75.0,162.0,0.09107836072135957
252.0,2.0,0.454,75.0,252.0,0.09640724223248937
252.0,2.0,0.454,75.0,342.0,0.09107836072135957
252.0,2.0,0.454,75.0,72.0,0.09410451255030451
246.0,-11.0,0.454,30.0,156.0,2.7338565958870722e-08
246.0,-11.0,0.454,30.0,246.0,8.498750669916639e-07
246.0,-11.0,0.454,30.0,336.0,2.7338565958870722e-08
246.0,-11.0,0.454,30.0,66.0,0.0
246.0,-11.0,0.454,50.0,156.0,3.16788451010489e-08
246.0,-11.0,0.454,50.0,246.0,2.3501168852973204e-07
246.0,-11.0,0.454,50.0,336.0,3.16788451010489e-08
246.0,-11.0,0.454,50.0,66.0,1.5243084450644676e-09
246.0,-11.0,0.454,75.0,156.0,2.9146134132939364e-08
246.0,-11.0,0.454,75.0,246.0,6.410022320451096e-08
246.0,-11.0,0.454,75.0,336.0,2.9146134132939364e-08
246.0,-11.0,0.454,75.0,66.0,8.868232953805847e-09
238.0,-22.0,0.454,30.0,148.0,0.0
238.0,-22.0,0.454,30.0,238.0,0.0
238.0,-22.0,0.454,30.0,328.0,0.0
238.0,-22.0,0.454,30.0,58.0,0.0
238.0,-22.0,0.454,50.0,148.0,0.0
238.0,-22.0,0.454,50.0,238.0,0.0
238.0,-22.0,0.454,50.0,328.0,0.0
238.0,-22.0,0.454,50.0,58.0,0.0
238.0,-22.0,0.454,75.0,148.0,0.0
238.0,-22.0,0.454,75.0,238.0,0.0
238.0,-22.0,0.454,75.0,328.0,0.0
238.0,-22.0,0.454,75.0,58.0,0.0
228.0,-33.0,0.454,30.0,138.0,0.0
228.0,-33.0,0.454,30.0,228.0,0.0
228.0,-33.0,0.454,30.0,318.0,0.0
228.0,-33.0,0.454,30.0,48.0,0.0
228.0,-33.0,0.454,50.0,138.0,0.0
228.0,-33.0,0.454,50.0,228.0,0.0
228.0,-33.0,0.454,50.0,318.0,0.0
228.0,-33.0,0.454,50.0,48.0,0.0
228.0,-33.0,0.454,75.0,138.0,0.0
228.0,-33.0,0.454,75.0,228.0,0.0
228.0,-33.0,0.454,75.0,318.0,0.0
228.0,-33.0,0.454,75.0,48.0,0.0
