# map_type=healpix
# coordinate_frame=galactic
# nside=1
# ordering=ring
# map_resolution=HEALPix nside=1 ordering=ring
# dataset_name=NSB experimental catalogue-derived Galactic starlight map
# version=v1-experimental-seed
# generation_date_utc=2026-06-22T00:00:00Z
# source_catalogue=curated Tycho/Hipparcos-style bright-star seed catalogue
# source_catalogue_release=manual-seed-v1
# source_catalogue_license=review-required-before-production-use
# source_catalogue_checksum=sha256:manual-seed-not-production
# magnitude_limit=bright-star seed only; not complete
# calibration_status=Experimental
# photometry_model=v_s10_scaled_integrated_v1
# band_definition=integrated 300-650 nm photon radiance plus B/V S10 diagnostics
# smoothing_fwhm_deg=none
# generated_by=nsb-data-tools build_starlight_map using siderust; values retained as experimental seed until full catalogue regeneration
healpix_index,integrated_ph_cm2_ns_sr,b_s10,v_s10
0,0.0020,1.60,1.60
1,0.0022,1.75,1.75
2,0.0025,2.05,2.05
3,0.0021,1.70,1.70
4,0.0060,4.80,4.80
5,0.0075,6.00,6.00
6,0.0100,8.05,8.05
7,0.0068,5.45,5.45
8,0.0030,2.40,2.40
9,0.0028,2.25,2.25
10,0.0024,1.95,1.95
11,0.0026,2.10,2.10
