# schema=nsb-healpix-starlight-v2
# packer_id=candidate-v5-to-healpix-v2-packed-v1
# unit_conversion_id=pixel-flux-ph-m2-s-to-band-radiance-ph-cm2-ns-sr-v1+nested-to-ring-v1
# source_candidate_sha256=sha256:76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# map_type=healpix
# coordinate_frame=galactic
# nside=128
# ordering=ring
# s10_diagnostics=not_provided
# band_definition=300-650 nm combined integrated photon radiance (corrected 300-336 nm UV + measured 336-650 nm)
# calibration_status=production
# dataset_name=NSB Gaia DR3 Starlight packed runtime map
# gaia_source_checksum_manifest_sha256=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# generated_by=nsb-data dataset starlight promote (candidate-v5-to-healpix-v2-packed-v1)
# generation_command=nsb-data dataset starlight promote --apply
# generation_date_utc=2026-08-24T00:00:00Z
# independent_comparison=no_admissible_independent_reference; human review #103
# magnitude_limit=Gaia DR3 catalogue as admitted by the frozen merge report
# map_resolution=HEALPix nside=128 ordering=ring
# photometry_model=gaia_dr3_xp_photon_radiance_300_650nm_packed_v1
# smoothing=none
# source_catalogue=Gaia DR3 GaiaSource and XP continuous
# source_catalogue_checksum=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# source_catalogue_license=CC BY-NC 3.0 IGO
# source_catalogue_release=Gaia DR3
# source_selection=Gaia DR3 full-population admission with photometric-inference fallback and selection-function weights
# validation_report=docs/nsb_components/starlight/production-runs/combined-300-650-validation.json
# version=uv-v2-packed-from-76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# xp_continuous_checksum_manifest_sha256=sha256:f23df1ffb45b19fc3f34d6f37791179cef1ebec6c5b9fd613a488b3be580fccd
healpix_index,integrated_ph_cm2_ns_sr,statistical_uncertainty_ph_cm2_ns_sr,systematic_uncertainty_ph_cm2_ns_sr,total_uncertainty_ph_cm2_ns_sr
0,8.4162751705681906e-3,3.9771438805901970e-5,2.4284140503570196e-4,2.4607664526404258e-4
1,4.7863679458324182e-1,1.0087387762753749e-2,9.5302586001923019e-3,1.3877363613550431e-2
2,1.6924096286850682e-2,1.2545901658962688e-4,3.7540208164514100e-4,3.9581142953070639e-4
3,1.4637237249165351e-2,8.0654242577299302e-5,4.5120446196775325e-4,4.5835638246382855e-4
4,8.4137764338899884e-2,9.0377344708957464e-4,1.2316363214285204e-3,1.5276565294352492e-3
5,1.8450397721160989e-2,4.5918694584376414e-4,6.0636552494986264e-4,7.6061277998798222e-4
6,8.8304434832115145e-3,1.1088771720986178e-4,2.5912830102959645e-4,2.8185734374413493e-4
7,5.7632082896146566e-3,4.3074648472975046e-5,2.0435941523874916e-4,2.0884969700192020e-4
8,2.7659661097920851e-2,3.3101815192737881e-4,4.8728625236033193e-4,5.8908480598704482e-4
9,2.3170925557199063e-2,3.3461765271637541e-4,5.6852544018776748e-4,6.5968943424168285e-4
10,1.9394014048731298e-2,1.7410318404439178e-4,4.6848037838405734e-4,4.9978573771693896e-4
11,5.4766982377019255e-2,9.2415145423628445e-4,1.2233864745419137e-3,1.5332091757027586e-3
12,3.9035104159010230e-3,1.8161107080249362e-5,1.5101475538140059e-4,1.5210286701204730e-4
13,8.5901247698817445e-3,7.2085403059096880e-5,2.5648053632955706e-4,2.6641803777163753e-4
14,5.7318131309915837e-2,7.8505439886843414e-4,1.2590885279836000e-3,1.4837837883204504e-3
15,2.1856014193982923e-2,2.0224089114986128e-4,4.3313177181687068e-4,4.7802145329505006e-4
16,6.7419011579100165e-3,4.7326563832983361e-5,2.0164639769220400e-4,2.0712574283869196e-4
17,2.2299238402017103e-2,3.7179435635236038e-4,5.2439733915037110e-4,6.4282471383998231e-4
18,5.4284853069972293e-2,6.7512803496949029e-4,9.3461095706985555e-4,1.1529507815500179e-3
19,1.8589835782896542e-2,2.6280181513389003e-4,5.1850133734228235e-4,5.8129891696389940e-4
