moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
253.0,31.0,0.241,30.0,163.0,0.16668487509280058
253.0,31.0,0.241,30.0,253.0,1.1096166942190697
253.0,31.0,0.241,30.0,343.0,0.16668487509280058
253.0,31.0,0.241,30.0,73.0,0.17609698629763518
253.0,31.0,0.241,50.0,163.0,0.12850521815351154
253.0,31.0,0.241,50.0,253.0,0.31181055411357167
253.0,31.0,0.241,50.0,343.0,0.12850521815351154
253.0,31.0,0.241,50.0,73.0,0.11264697724903751
253.0,31.0,0.241,75.0,163.0,0.11433944180624478
253.0,31.0,0.241,75.0,253.0,0.147846329683338
253.0,31.0,0.241,75.0,343.0,0.11433944180624478
253.0,31.0,0.241,75.0,73.0,0.09845186290523801
249.0,19.0,0.241,30.0,159.0,0.14430737849487754
249.0,19.0,0.241,30.0,249.0,0.49528100549124454
249.0,19.0,0.241,30.0,339.0,0.14430737849487754
249.0,19.0,0.241,30.0,69.0,0.174891469063547
249.0,19.0,0.241,50.0,159.0,0.10593966977369129
249.0,19.0,0.241,50.0,249.0,0.2075814159207796
249.0,19.0,0.241,50.0,339.0,0.10593966977369129
249.0,19.0,0.241,50.0,69.0,0.10729921534222192
249.0,19.0,0.241,75.0,159.0,0.08976720319303669
249.0,19.0,0.241,75.0,249.0,0.10798528780825958
249.0,19.0,0.241,75.0,339.0,0.08976720319303669
249.0,19.0,0.241,75.0,69.0,0.08265843937139555
245.0,7.0,0.241,30.0,155.0,0.09509059934139483
245.0,7.0,0.241,30.0,245.0,0.226450785682358
245.0,7.0,0.241,30.0,335.0,0.09509059934139483
245.0,7.0,0.241,30.0,65.0,0.13188377845705515
245.0,7.0,0.241,50.0,155.0,0.06815967433957659
245.0,7.0,0.241,50.0,245.0,0.10736104297812912
245.0,7.0,0.241,50.0,335.0,0.06815967433957659
245.0,7.0,0.241,50.0,65.0,0.07963144103668485
245.0,7.0,0.241,75.0,155.0,0.05627228907966673
245.0,7.0,0.241,75.0,245.0,0.06250019641525262
245.0,7.0,0.241,75.0,335.0,0.05627228907966673
245.0,7.0,0.241,75.0,65.0,0.05610656978534115
239.0,-5.0,0.241,30.0,149.0,0.0009471873407175569
239.0,-5.0,0.241,30.0,239.0,0.0020643195961514843
239.0,-5.0,0.241,30.0,329.0,0.0009471873407175569
239.0,-5.0,0.241,30.0,59.0,0.0007291771482739403
239.0,-5.0,0.241,50.0,149.0,0.000708834030804193
239.0,-5.0,0.241,50.0,239.0,0.0010709805924488923
239.0,-5.0,0.241,50.0,329.0,0.000708834030804193
239.0,-5.0,0.241,50.0,59.0,0.0006689809799765672
239.0,-5.0,0.241,75.0,149.0,0.0005944741480674585
239.0,-5.0,0.241,75.0,239.0,0.0006487057499907434
239.0,-5.0,0.241,75.0,329.0,0.0005944741480674585
239.0,-5.0,0.241,75.0,59.0,0.0005863597390907472
232.0,-16.0,0.241,30.0,142.0,0.0
232.0,-16.0,0.241,30.0,232.0,0.0
232.0,-16.0,0.241,30.0,322.0,0.0
232.0,-16.0,0.241,30.0,52.0,0.0
232.0,-16.0,0.241,50.0,142.0,0.0
232.0,-16.0,0.241,50.0,232.0,0.0
232.0,-16.0,0.241,50.0,322.0,0.0
232.0,-16.0,0.241,50.0,52.0,0.0
232.0,-16.0,0.241,75.0,142.0,0.0
232.0,-16.0,0.241,75.0,232.0,0.0
232.0,-16.0,0.241,75.0,322.0,0.0
232.0,-16.0,0.241,75.0,52.0,0.0
223.0,-25.0,0.241,30.0,133.0,0.0
223.0,-25.0,0.241,30.0,223.0,0.0
223.0,-25.0,0.241,30.0,313.0,0.0
223.0,-25.0,0.241,30.0,43.0,0.0
223.0,-25.0,0.241,50.0,133.0,0.0
223.0,-25.0,0.241,50.0,223.0,0.0
223.0,-25.0,0.241,50.0,313.0,0.0
223.0,-25.0,0.241,50.0,43.0,0.0
223.0,-25.0,0.241,75.0,133.0,0.0
223.0,-25.0,0.241,75.0,223.0,0.0
223.0,-25.0,0.241,75.0,313.0,0.0
223.0,-25.0,0.241,75.0,43.0,0.0
211.0,-33.0,0.241,30.0,121.0,0.0
211.0,-33.0,0.241,30.0,211.0,0.0
211.0,-33.0,0.241,30.0,301.0,0.0
211.0,-33.0,0.241,30.0,31.0,0.0
211.0,-33.0,0.241,50.0,121.0,0.0
211.0,-33.0,0.241,50.0,211.0,0.0
211.0,-33.0,0.241,50.0,301.0,0.0
211.0,-33.0,0.241,50.0,31.0,0.0
211.0,-33.0,0.241,75.0,121.0,0.0
211.0,-33.0,0.241,75.0,211.0,0.0
211.0,-33.0,0.241,75.0,301.0,0.0
211.0,-33.0,0.241,75.0,31.0,0.0
197.0,-39.0,0.241,30.0,107.0,0.0
197.0,-39.0,0.241,30.0,17.0,0.0
197.0,-39.0,0.241,30.0,197.0,0.0
197.0,-39.0,0.241,30.0,287.0,0.0
197.0,-39.0,0.241,50.0,107.0,0.0
197.0,-39.0,0.241,50.0,17.0,0.0
197.0,-39.0,0.241,50.0,197.0,0.0
197.0,-39.0,0.241,50.0,287.0,0.0
197.0,-39.0,0.241,75.0,107.0,0.0
197.0,-39.0,0.241,75.0,17.0,0.0
197.0,-39.0,0.241,75.0,197.0,0.0
197.0,-39.0,0.241,75.0,287.0,0.0
