# Wavelength [nm], Sun Spectrum [W/m2/nm]
1.195000000000000000e+02,6.190000000000000027e-05
1.205000000000000000e+02,5.613999999999999850e-04
1.215000000000000000e+02,4.900999999999999975e-03
1.225000000000000000e+02,1.183999999999999940e-03
1.235000000000000000e+02,4.770000000000000070e-05
1.245000000000000000e+02,3.430000000000000025e-05
1.255000000000000000e+02,2.879999999999999870e-05
1.265000000000000000e+02,3.520000000000000180e-05
1.275000000000000000e+02,2.129999999999999935e-05
1.285000000000000000e+02,1.730000000000000038e-05
1.295000000000000000e+02,3.990000000000000084e-05
1.305000000000000000e+02,1.206000000000000041e-04
1.315000000000000000e+02,3.979999999999999841e-05
1.325000000000000000e+02,4.130000000000000099e-05
1.335000000000000000e+02,1.679999999999999907e-04
1.345000000000000000e+02,4.569999999999999952e-05
1.355000000000000000e+02,3.800000000000000209e-05
1.365000000000000000e+02,3.089999999999999892e-05
1.375000000000000000e+02,2.920000000000000164e-05
1.385000000000000000e+02,3.970000000000000276e-05
1.395000000000000000e+02,7.559999999999999446e-05
1.405000000000000000e+02,6.080000000000000064e-05
1.415000000000000000e+02,4.210000000000000011e-05
1.425000000000000000e+02,4.679999999999999915e-05
1.435000000000000000e+02,5.110000000000000203e-05
1.445000000000000000e+02,5.089999999999999717e-05
1.455000000000000000e+02,5.539999999999999813e-05
1.465000000000000000e+02,7.090000000000000219e-05
1.475000000000000000e+02,8.490000000000000368e-05
1.485000000000000000e+02,8.200000000000000095e-05
1.495000000000000000e+02,7.959999999999999682e-05
1.505000000000000000e+02,8.700000000000000051e-05
1.515000000000000000e+02,9.270000000000000353e-05
1.525000000000000000e+02,1.162999999999999944e-04
1.535000000000000000e+02,1.299000000000000133e-04
1.545000000000000000e+02,2.058999999999999904e-04
1.555000000000000000e+02,2.144000000000000072e-04
1.565000000000000000e+02,1.846999999999999901e-04
1.575000000000000000e+02,1.716999999999999993e-04
1.585000000000000000e+02,1.675000000000000057e-04
1.595000000000000000e+02,1.754000000000000079e-04
1.605000000000000000e+02,1.934000000000000118e-04
1.615000000000000000e+02,2.227999999999999946e-04
1.625000000000000000e+02,2.518999999999999972e-04
1.635000000000000000e+02,2.841000000000000209e-04
1.645000000000000000e+02,2.973000000000000165e-04
1.655000000000000000e+02,4.301999999999999943e-04
1.665000000000000000e+02,3.988999999999999924e-04
1.675000000000000000e+02,3.874999999999999864e-04
1.685000000000000000e+02,4.556000000000000154e-04
1.695000000000000000e+02,5.877000000000000279e-04
1.705000000000000000e+02,6.616000000000000353e-04
1.715000000000000000e+02,6.880000000000000265e-04
1.725000000000000000e+02,7.251999999999999549e-04
1.735000000000000000e+02,7.644999999999999886e-04
1.745000000000000000e+02,9.066999999999999756e-04
1.755000000000000000e+02,1.079000000000000098e-03
1.765000000000000000e+02,1.219999999999999947e-03
1.775000000000000000e+02,1.402999999999999950e-03
1.785000000000000000e+02,1.538000000000000088e-03
1.795000000000000000e+02,1.575999999999999927e-03
1.805000000000000000e+02,1.830999999999999945e-03
1.815000000000000000e+02,2.233000000000000176e-03
1.825000000000000000e+02,2.243000000000000202e-03
1.835000000000000000e+02,2.243999999999999901e-03
1.845000000000000000e+02,2.066000000000000128e-03
1.855000000000000000e+02,2.311000000000000120e-03
1.865000000000000000e+02,2.700000000000000143e-03
1.875000000000000000e+02,3.008999999999999956e-03
1.885000000000000000e+02,3.291000000000000088e-03
1.895000000000000000e+02,3.569000000000000124e-03
1.905000000000000000e+02,3.763999999999999985e-03
1.915000000000000000e+02,4.165000000000000299e-03
1.925000000000000000e+02,4.113000000000000336e-03
1.935000000000000000e+02,3.808000000000000187e-03
1.945000000000000000e+02,5.210000000000000221e-03
1.955000000000000000e+02,5.427000000000000400e-03
1.965000000000000000e+02,6.008000000000000319e-03
1.975000000000000000e+02,6.191000000000000322e-03
1.985000000000000000e+02,6.186999999999999791e-03
1.995000000000000000e+02,6.663999999999999785e-03
2.005000000000000000e+02,7.326000000000000047e-03
2.015000000000000000e+02,8.023000000000000617e-03
2.025000000000000000e+02,8.260999999999999246e-03
2.035000000000000000e+02,9.216999999999999499e-03
2.045000000000000000e+02,1.025000000000000043e-02
2.055000000000000000e+02,1.054000000000000076e-02
2.065000000000000000e+02,1.107999999999999957e-02
2.075000000000000000e+02,1.264999999999999979e-02
2.085000000000000000e+02,1.504999999999999914e-02
2.095000000000000000e+02,2.137999999999999970e-02
2.105000000000000000e+02,2.792000000000000037e-02
2.115000000000000000e+02,3.354000000000000037e-02
2.125000000000000000e+02,3.130000000000000143e-02
2.135000000000000000e+02,3.314999999999999891e-02
2.145000000000000000e+02,4.003000000000000308e-02
2.155000000000000000e+02,3.615000000000000158e-02
2.165000000000000000e+02,3.227000000000000007e-02
2.175000000000000000e+02,3.529000000000000192e-02
2.185000000000000000e+02,4.436999999999999972e-02
2.195000000000000000e+02,4.692000000000000337e-02
2.205000000000000000e+02,4.732999999999999707e-02
2.215000000000000000e+02,3.957999999999999713e-02
2.225000000000000000e+02,4.964999999999999969e-02
2.235000000000000000e+02,6.300999999999999657e-02
2.245000000000000000e+02,5.897000000000000158e-02
2.255000000000000000e+02,5.229000000000000314e-02
2.265000000000000000e+02,3.939999999999999752e-02
2.275000000000000000e+02,3.991999999999999715e-02
2.285000000000000000e+02,5.195000000000000312e-02
2.295000000000000000e+02,4.771000000000000241e-02
2.305000000000000000e+02,5.211999999999999966e-02
2.315000000000000000e+02,5.097000000000000142e-02
2.325000000000000000e+02,5.326000000000000179e-02
2.335000000000000000e+02,4.474000000000000199e-02
2.345000000000000000e+02,3.896999999999999770e-02
2.355000000000000000e+02,5.142000000000000043e-02
2.365000000000000000e+02,4.859000000000000125e-02
2.375000000000000000e+02,4.843999999999999695e-02
2.385000000000000000e+02,4.195999999999999730e-02
2.395000000000000000e+02,4.411999999999999950e-02
2.405000000000000000e+02,3.955999999999999794e-02
2.415000000000000000e+02,5.147999999999999798e-02
2.425000000000000000e+02,7.059999999999999609e-02
2.435000000000000000e+02,6.653000000000000580e-02
2.445000000000000000e+02,6.097000000000000336e-02
2.455000000000000000e+02,4.939000000000000334e-02
2.465000000000000000e+02,5.040000000000000036e-02
2.475000000000000000e+02,5.550000000000000072e-02
2.485000000000000000e+02,4.565000000000000308e-02
2.495000000000000000e+02,5.637999999999999956e-02
2.505000000000000000e+02,6.010000000000000064e-02
2.515000000000000000e+02,4.601000000000000228e-02
2.525000000000000000e+02,4.154999999999999666e-02
2.535000000000000000e+02,5.154999999999999860e-02
2.545000000000000000e+02,5.956999999999999795e-02
2.555000000000000000e+02,7.929999999999999549e-02
2.565000000000000000e+02,1.018000000000000016e-01
2.575000000000000000e+02,1.254000000000000115e-01
2.585000000000000000e+02,1.250999999999999890e-01
2.595000000000000000e+02,1.039999999999999952e-01
2.605000000000000000e+02,8.551000000000000267e-02
2.615000000000000000e+02,8.980000000000000482e-02
2.625000000000000000e+02,1.035999999999999976e-01
2.635000000000000000e+02,1.658000000000000029e-01
2.645000000000000000e+02,2.497000000000000053e-01
2.655000000000000000e+02,2.526999999999999802e-01
2.665000000000000000e+02,2.494000000000000106e-01
2.675000000000000000e+02,2.508000000000000229e-01
2.685000000000000000e+02,2.437999999999999889e-01
2.695000000000000000e+02,2.389000000000000012e-01
2.705000000000000000e+02,2.672999999999999821e-01
2.715000000000000000e+02,2.243999999999999884e-01
2.725000000000000000e+02,1.973999999999999921e-01
2.735000000000000000e+02,1.965000000000000080e-01
2.745000000000000000e+02,1.325999999999999956e-01
2.755000000000000000e+02,1.751000000000000056e-01
2.765000000000000000e+02,2.427999999999999881e-01
2.775000000000000000e+02,2.338000000000000078e-01
2.785000000000000000e+02,1.592999999999999972e-01
2.795000000000000000e+02,8.555000000000000104e-02
2.805000000000000000e+02,9.463000000000000578e-02
2.815000000000000000e+02,2.083000000000000129e-01
2.825000000000000000e+02,2.940999999999999726e-01
2.835000000000000000e+02,3.135000000000000009e-01
2.845000000000000000e+02,2.353000000000000091e-01
2.855000000000000000e+02,1.630999999999999950e-01
2.865000000000000000e+02,3.226999999999999869e-01
2.875000000000000000e+02,3.362999999999999878e-01
2.885000000000000000e+02,3.221999999999999864e-01
2.895000000000000000e+02,4.727000000000000091e-01
2.905000000000000000e+02,6.012999999999999456e-01
2.915000000000000000e+02,5.807999999999999829e-01
2.925000000000000000e+02,5.219000000000000306e-01
2.935000000000000000e+02,5.354999999999999760e-01
2.945000000000000000e+02,5.088000000000000300e-01
2.955000000000000000e+02,5.532000000000000250e-01
2.965000000000000000e+02,5.096000000000000529e-01
2.975000000000000000e+02,5.072999999999999732e-01
2.985000000000000000e+02,4.655000000000000249e-01
2.995000000000000000e+02,4.839999999999999858e-01
3.005000000000000000e+02,4.199999999999999845e-01
3.015000000000000000e+02,4.555000000000000160e-01
3.025000000000000000e+02,4.889999999999999902e-01
3.035000000000000000e+02,6.206000000000000405e-01
3.045000000000000000e+02,6.025000000000000355e-01
3.055000000000000000e+02,5.947999999999999954e-01
3.065000000000000000e+02,5.556999999999999718e-01
3.075000000000000000e+02,6.149999999999999911e-01
3.085000000000000000e+02,6.114000000000000545e-01
3.095000000000000000e+02,4.964999999999999969e-01
3.105000000000000000e+02,6.223999999999999533e-01
3.115000000000000000e+02,7.291999999999999593e-01
3.125000000000000000e+02,6.559000000000000385e-01
3.135000000000000000e+02,6.998999999999999666e-01
3.145000000000000000e+02,6.629000000000000448e-01
3.155000000000000000e+02,6.330000000000000071e-01
3.165000000000000000e+02,6.331999999999999851e-01
3.175000000000000000e+02,7.739000000000000323e-01
3.185000000000000000e+02,6.649000000000000465e-01
3.195000000000000000e+02,7.105000000000000204e-01
3.205000000000000000e+02,8.051000000000000378e-01
3.215000000000000000e+02,6.995000000000000107e-01
3.225000000000000000e+02,6.885999999999999899e-01
3.235000000000000000e+02,6.612999999999999989e-01
3.245000000000000000e+02,7.608000000000000318e-01
3.255000000000000000e+02,8.758000000000000229e-01
3.265000000000000000e+02,9.795000000000000373e-01
3.275000000000000000e+02,9.526999999999999913e-01
3.285000000000000000e+02,9.175999999999999712e-01
3.295000000000000000e+02,1.060999999999999943e+00
3.305000000000000000e+02,1.016000000000000014e+00
3.315000000000000000e+02,9.657000000000000028e-01
3.325000000000000000e+02,9.548999999999999710e-01
3.335000000000000000e+02,9.215999999999999748e-01
3.345000000000000000e+02,9.588999999999999746e-01
3.355000000000000000e+02,9.434000000000000163e-01
3.365000000000000000e+02,8.094999999999999973e-01
3.375000000000000000e+02,8.417999999999999927e-01
3.385000000000000000e+02,9.214999999999999858e-01
3.395000000000000000e+02,9.580999999999999517e-01
3.405000000000000000e+02,1.006999999999999895e+00
3.415000000000000000e+02,9.237999999999999545e-01
3.425000000000000000e+02,9.929999999999999938e-01
3.435000000000000000e+02,9.506000000000000005e-01
3.445000000000000000e+02,7.956999999999999629e-01
3.455000000000000000e+02,9.392000000000000348e-01
3.465000000000000000e+02,9.264000000000000012e-01
3.475000000000000000e+02,9.016999999999999460e-01
3.485000000000000000e+02,8.971999999999999975e-01
3.495000000000000000e+02,8.898000000000000353e-01
3.505000000000000000e+02,1.050000000000000044e+00
3.515000000000000000e+02,9.795000000000000373e-01
3.525000000000000000e+02,9.079000000000000403e-01
3.535000000000000000e+02,1.032999999999999918e+00
3.545000000000000000e+02,1.110999999999999988e+00
3.555000000000000000e+02,1.044999999999999929e+00
3.565000000000000000e+02,9.122999999999999998e-01
3.575000000000000000e+02,7.960000000000000409e-01
3.585000000000000000e+02,6.935999999999999943e-01
3.595000000000000000e+02,9.910999999999999810e-01
3.605000000000000000e+02,9.707999999999999963e-01
3.615000000000000000e+02,8.780999999999999917e-01
3.625000000000000000e+02,9.978000000000000203e-01
3.635000000000000000e+02,9.969000000000000083e-01
3.645000000000000000e+02,1.012999999999999901e+00
3.655000000000000000e+02,1.151999999999999913e+00
3.665000000000000000e+02,1.233000000000000096e+00
3.675000000000000000e+02,1.179999999999999938e+00
3.685000000000000000e+02,1.100999999999999979e+00
3.695000000000000000e+02,1.225999999999999979e+00
3.705000000000000000e+02,1.139000000000000012e+00
3.715000000000000000e+02,1.175000000000000044e+00
3.725000000000000000e+02,1.054000000000000048e+00
3.735000000000000000e+02,9.202000000000000179e-01
3.745000000000000000e+02,9.003999999999999782e-01
3.755000000000000000e+02,1.062000000000000055e+00
3.765000000000000000e+02,1.084999999999999964e+00
3.775000000000000000e+02,1.282000000000000028e+00
3.785000000000000000e+02,1.326999999999999957e+00
3.795000000000000000e+02,1.066000000000000059e+00
3.805000000000000000e+02,1.201999999999999957e+00
3.815000000000000000e+02,1.082000000000000073e+00
3.825000000000000000e+02,7.913000000000000034e-01
3.835000000000000000e+02,6.841000000000000414e-01
3.845000000000000000e+02,9.596999999999999975e-01
3.855000000000000000e+02,1.008000000000000007e+00
3.865000000000000000e+02,1.006999999999999895e+00
3.875000000000000000e+02,1.004000000000000004e+00
3.885000000000000000e+02,9.842999999999999527e-01
3.895000000000000000e+02,1.173999999999999932e+00
3.905000000000000000e+02,1.247000000000000108e+00
3.915000000000000000e+02,1.342000000000000082e+00
3.925000000000000000e+02,1.018999999999999906e+00
3.935000000000000000e+02,5.823000000000000398e-01
3.945000000000000000e+02,1.026000000000000023e+00
3.955000000000000000e+02,1.314000000000000057e+00
3.965000000000000000e+02,8.545000000000000373e-01
3.975000000000000000e+02,9.287999999999999590e-01
3.985000000000000000e+02,1.522000000000000020e+00
3.995000000000000000e+02,1.663000000000000034e+00
4.005000000000000000e+02,1.681999999999999940e+00
4.015000000000000000e+02,1.745999999999999996e+00
4.025000000000000000e+02,1.758999999999999897e+00
4.035000000000000000e+02,1.683999999999999941e+00
4.045000000000000000e+02,1.673999999999999932e+00
4.055000000000000000e+02,1.667000000000000037e+00
4.065000000000000000e+02,1.588999999999999968e+00
4.075000000000000000e+02,1.627999999999999892e+00
4.085000000000000000e+02,1.735000000000000098e+00
4.095000000000000000e+02,1.715000000000000080e+00
4.105000000000000000e+02,1.532000000000000028e+00
4.115000000000000000e+02,1.816999999999999948e+00
4.125000000000000000e+02,1.788999999999999924e+00
4.135000000000000000e+02,1.756000000000000005e+00
4.145000000000000000e+02,1.737000000000000099e+00
4.155000000000000000e+02,1.733999999999999986e+00
4.165000000000000000e+02,1.842000000000000082e+00
4.175000000000000000e+02,1.665000000000000036e+00
4.185000000000000000e+02,1.683999999999999941e+00
4.195000000000000000e+02,1.701000000000000068e+00
4.205000000000000000e+02,1.756999999999999895e+00
4.215000000000000000e+02,1.796999999999999931e+00
4.225000000000000000e+02,1.582000000000000073e+00
4.235000000000000000e+02,1.711000000000000076e+00
4.245000000000000000e+02,1.766999999999999904e+00
4.255000000000000000e+02,1.695000000000000062e+00
4.265000000000000000e+02,1.697999999999999954e+00
4.275000000000000000e+02,1.568999999999999950e+00
4.285000000000000000e+02,1.586999999999999966e+00
4.295000000000000000e+02,1.475000000000000089e+00
4.305000000000000000e+02,1.135000000000000009e+00
4.315000000000000000e+02,1.685999999999999943e+00
4.325000000000000000e+02,1.645999999999999908e+00
4.335000000000000000e+02,1.731000000000000094e+00
4.345000000000000000e+02,1.669999999999999929e+00
4.355000000000000000e+02,1.723000000000000087e+00
4.365000000000000000e+02,1.929000000000000048e+00
4.375000000000000000e+02,1.806000000000000050e+00
4.385000000000000000e+02,1.566999999999999948e+00
4.395000000000000000e+02,1.824999999999999956e+00
4.405000000000000000e+02,1.713000000000000078e+00
4.415000000000000000e+02,1.931000000000000050e+00
4.425000000000000000e+02,1.979999999999999982e+00
4.435000000000000000e+02,1.909000000000000030e+00
4.445000000000000000e+02,1.973000000000000087e+00
4.455000000000000000e+02,1.820999999999999952e+00
4.465000000000000000e+02,1.891000000000000014e+00
4.475000000000000000e+02,2.076999999999999957e+00
4.485000000000000000e+02,1.973000000000000087e+00
4.495000000000000000e+02,2.027000000000000135e+00
4.505000000000000000e+02,2.144000000000000128e+00
4.515000000000000000e+02,2.108999999999999986e+00
4.525000000000000000e+02,1.941000000000000059e+00
4.535000000000000000e+02,1.969999999999999973e+00
4.545000000000000000e+02,1.979000000000000092e+00
4.555000000000000000e+02,2.033999999999999808e+00
4.565000000000000000e+02,2.076999999999999957e+00
4.575000000000000000e+02,2.100000000000000089e+00
4.585000000000000000e+02,1.971000000000000085e+00
4.595000000000000000e+02,2.008999999999999897e+00
4.605000000000000000e+02,2.040000000000000036e+00
4.615000000000000000e+02,2.055000000000000160e+00
4.625000000000000000e+02,2.104000000000000092e+00
4.635000000000000000e+02,2.040000000000000036e+00
4.645000000000000000e+02,1.975999999999999979e+00
4.655000000000000000e+02,2.041999999999999815e+00
4.665000000000000000e+02,1.921000000000000041e+00
4.675000000000000000e+02,2.015000000000000124e+00
4.685000000000000000e+02,1.993999999999999995e+00
4.695000000000000000e+02,1.989999999999999991e+00
4.705000000000000000e+02,1.877000000000000002e+00
4.715000000000000000e+02,2.017999999999999794e+00
