# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
225,1.42036430434955657e7,8.46144811675250385e4,1.04004786110307870e6,1.04348414640967990e6,7580,874
226,7.79670275146294292e6,1.19491883853675954e4,6.57292723986326833e5,6.57401329560896615e5,5241,611
227,9.97816358732846677e7,8.20165364593164297e5,5.94888585976945236e6,6.00515730000831652e6,39195,4255
230,4.65365992618926689e7,1.10040216504070806e5,3.11677014372984599e6,3.11871207040567091e6,22613,2230
231,1.16992238305423316e6,8.17523571409254691e3,1.83081766379965011e4,2.00505314340806217e4,71,8
232,4.05151053543331772e7,1.06255214340957245e5,2.77594120575670386e6,2.77797403666640213e6,19786,2302
233,7.57891886893256754e7,1.24789937033619950e5,4.75823396100867540e6,4.75987005663822312e6,35192,3593
234,4.99174980301494226e7,2.11550542455419170e5,3.05634295020097587e6,3.06365563685874874e6,20198,2306
235,1.10365680723692879e8,1.72910027186374762e6,6.03488182168196235e6,6.27770550056520943e6,32934,3052
236,5.10397080161882862e7,1.66079448174546735e5,3.41094835805578344e6,3.41498917779096449e6,24576,2159
238,2.96564990830755457e7,1.83899278952292720e5,2.33701358101143967e6,2.34423791937403101e6,17583,1387
239,4.31101472691601666e5,2.02114745027356275e3,4.86030940009755504e4,4.86451003029432832e4,406,26
576,1.09711946967306267e7,4.38546631636687889e4,6.12155454533160781e5,6.13724312697402900e5,4217,461
577,1.00259984886219084e8,7.86907320924497442e5,4.76730737386898044e6,4.83181567618945148e6,30777,2748
579,2.52472653845473044e7,6.61829610763074888e4,1.76871778643204132e6,1.76995559051008057e6,13185,1098
580,4.27451177738031223e7,6.34388786262689027e4,3.45653149374125618e6,3.45711360220437637e6,27691,2235
581,1.94676207591293454e7,5.42778756903893809e4,1.78949478382631252e6,1.79031775646979571e6,15003,955
582,6.74042390583500862e7,1.10948852435774679e5,4.06650538520707749e6,4.06801864496402908e6,29978,2496
583,4.17813873605540395e7,6.73578323779989005e4,2.86105378644228680e6,2.86184657983240066e6,22104,1561
585,7.37315496076310873e7,3.88763396953214600e5,3.86819992822852544e6,3.88768667250304157e6,22869,2050
587,2.12530571038786434e7,3.89269939251719043e4,1.41234039520738833e6,1.41287674720430304e6,10295,932
588,9.81634467477657348e7,5.03538631687486137e5,4.60876203381342813e6,4.63618794247189630e6,28727,2311
589,3.73246282489009202e7,1.81779784634520242e5,2.09783009107807558e6,2.10569109347368916e6,14329,1057
590,4.51138495818953738e7,4.75291915590779026e4,3.21186018676536623e6,3.21221183662888454e6,24293,1889
591,8.29615247897925694e6,1.39474003763915298e4,5.23247738171355333e5,5.23433592233722215e5,4165,251
592,1.31703425225660461e6,3.65483235154221438e3,1.53323749907865364e5,1.53367304486085050e5,1337,96
594,2.65563814938044583e5,2.34345654071620174e3,1.79967374846067869e4,1.81486734679997098e4,147,5
612,1.31383017096556933e6,4.17353902487750111e3,1.16167669591329599e5,1.16242616480671582e5,955,68
5205,2.78109985321653783e7,6.80878390813159640e5,7.04593121888452908e5,9.79819805111549096e5,569,32
5207,5.55747870206693839e6,2.94803205203694524e4,1.43105745589166938e5,1.46110724173878116e5,507,46
5213,6.26974494890985172e6,3.28434602999316849e4,1.41860406070084893e5,1.45612731911885261e5,461,26
5215,7.24380807306668628e6,7.79725206698953698e4,1.80982591617948492e5,1.97064488044818398e5,399,19
5237,5.70238293241300806e6,6.00868502843948445e4,1.41122038868476695e5,1.53381418142795679e5,349,27
5239,2.15258961400261223e7,2.61470338532244758e5,3.66919393753816956e5,4.50551417093360447e5,334,21
5245,3.31331543149582995e6,3.29842612319564068e4,9.23027219750265504e4,9.80191510523172765e4,242,14
5247,1.86759963930068724e6,1.47267363626692313e4,5.80321534500540147e4,5.98715925790034453e4,231,17
5333,7.94257101168523193e5,4.38464966632697906e3,3.11651707895777290e4,3.14720991203314916e4,183,6
5335,2.74706141511452338e6,2.48981407696442548e4,6.94466955384624744e4,7.37750698745648406e4,196,17
5341,2.79626452738547046e6,2.92785498582954860e4,6.75216190590082988e4,7.35962126889320789e4,192,17
5343,4.92583615419362206e6,9.23730078704838816e4,1.26669564038840588e5,1.56773566129084444e5,184,15
5365,1.52353646777908783e6,1.05605617188258493e4,4.14994663475342240e4,4.28220874193126583e4,209,14
5367,6.12282086373739690e6,6.51128388191421545e4,1.40723765545098460e5,1.55057602097670228e5,207,20
5373,3.20570453747436032e6,2.08551280649729233e4,7.34339138721572963e4,7.63379071837172960e4,224,26
5375,1.52360942877476476e7,5.28235336213479866e5,5.10684017588869261e5,7.34731744411031017e5,273,17
5376,1.13102118652166519e7,4.78248084604390606e4,3.44099380573729402e5,3.47406960228925105e5,1337,75
5377,1.90235116330667287e7,1.17151003353106033e5,4.94115199381225277e5,5.07813142648147186e5,1294,92
5378,5.08554613675820231e7,6.27382558333966532e5,8.32808908156674006e5,1.04267902635796042e6,1277,117
5379,7.03771625530673862e7,8.06646972624534275e5,1.36812763224020624e6,1.58822308147927350e6,1191,97
5380,3.67841458251897022e7,2.92682699775222456e5,7.21453424501294969e5,7.78561626637454261e5,1284,64
5381,2.15276000068787709e7,1.40730600871616858e5,4.86879050172568590e5,5.06809936286404030e5,1172,72
5382,1.50757071909618955e7,7.83462613625677186e4,3.66814724245951045e5,3.75088227745319775e5,1281,94
5383,1.05572101811886102e8,1.34936434019766399e6,1.56730789161471301e6,2.06814848347860016e6,1269,69
5384,1.57395180643891804e7,8.88827599048494740e4,4.06328418945676007e5,4.15936207910775556e5,1247,82
5385,2.88226595154659934e7,1.48170184662405023e5,6.14072222938623047e5,6.31695416009704117e5,1252,80
5386,1.72192634203695320e7,1.55207511131380656e5,4.64804740426790842e5,4.90033486850454006e5,1207,82
5387,2.21145244773197025e7,1.99850207979643514e5,5.56031646067370544e5,5.90856409847516450e5,1247,64
5388,1.45298456791213900e7,5.43838722726837004e4,3.87275723375652509e5,3.91075557251417194e5,1233,87
5389,9.77416256837592646e6,4.98465501622640440e4,2.90828487746686907e5,2.95069293299224752e5,1211,70
5390,2.24486903510705382e7,1.97627648425986990e5,6.04845745418197126e5,6.36313651568847010e5,1197,70
5391,1.12633784661684707e7,5.06182643348793717e4,3.40051619666704559e5,3.43798360557790904e5,1180,64
5392,2.44340632836792283e7,2.55443756479929754e5,5.69117792037628358e5,6.23816137927164324e5,1217,81
5393,4.01129076525852159e7,3.32023448498840153e5,1.19254892630050075e6,1.23790650372858904e6,1174,93
5394,1.67694723032928519e7,1.68765349665861257e5,4.78343130868959823e5,5.07241455420748563e5,1202,73
5395,1.51393605673890393e7,8.13346498515928834e4,3.74311050069803954e5,3.83045803358867939e5,1079,80
5396,2.43807731580864526e7,1.61773020749167423e5,6.01351075337278424e5,6.22730781358695705e5,1110,61
5397,7.58050497245471328e7,1.75793933269197075e6,1.67190856645338237e7,1.68112514749927483e7,1114,71
5398,1.55743993460550234e7,1.05973435680130773e5,4.63733511359551281e5,4.75688068620298582e5,1192,76
5399,5.15656993052139506e7,6.69583919046918512e5,9.68128011772445403e5,1.17712126470669894e6,1143,57
5400,1.96532248400754370e7,1.47848535752098600e5,4.92041057094336720e5,5.13773871844950772e5,1149,84
5401,1.04862509932707306e7,5.11146616943157496e4,3.00215175682161585e5,3.04535482907978236e5,1175,64
